What is the core problem addressed by the design principle 'Make Agency Distribution Legible'?,Users cannot make informed choices about AI assistance if they do not understand how control is distributed between them and the AI.
"According to the 'Make Agency Distribution Legible' principle, what is one way to visualize AI contributions in a user interface?",Using different text colors or highlighting to distinguish between AI-generated and human-written content.
Why is it important to expose default settings transparently?,"To ensure users know which interaction mode is active on startup and can easily change it, preventing unintentional agency loss."
The design principle 'Preserve Editorial Control Through Defaults' warns that _____-_____ systems erode agency even when users retain veto power.,opt-out
What is the recommended default interaction mode for preserving user agency?,"Suggest Mode (Opt-In), where the AI proposes options and the user must take an action to accept them."
What is the key characteristic of 'Publish Mode' (Opt-Out) that can erode user agency?,"The AI auto-inserts content, requiring the user to actively delete or edit it if it's unwanted."
"Name one of the three implementation patterns for 'Suggest Mode', ordered by increasing user friction.","Inline Suggestions (Low Friction), Suggestion Panel (Medium Friction), or On-Demand Generation (High Friction)."
Under what condition might 'Publish Mode' be appropriate in a human-AI system?,"When a user explicitly requests a large-scale generation, such as 'generate entire section', and a simple undo is available."
What problem does the 'Enable Graduated Assistance' principle solve?,It addresses the issue that one-size-fits-all AI assistance frustrates both novices (too little help) and experts (too much interference).
What are the three recommended assistance levels for graduated assistance?,"Novice Mode (high AI initiative), Intermediate Mode (contextual co-pilot style), and Expert Mode (minimal AI interference)."
"In the 'Novice Mode' of graduated assistance, what percentage of agency is typically retained by the human?",15-50% (L1-L2).
"In the 'Expert Mode' of graduated assistance, what is the frequency of AI suggestions?","On-demand only, triggered by explicit user requests."
What critical feature is needed to address the problem that users lose practical control if they cannot easily undo AI actions?,Recovery mechanisms.
What is 'Granular Undo' as a recovery mechanism?,The ability to undo a specific AI contribution without undoing the user's own work.
"Besides undo, what recovery mechanism allows a user to revert a document to its 'pre-AI' state?",A version history system that tracks human vs. AI contributions separately.
What problem is the 'Minimize Lock-In' principle designed to prevent?,"Users being trapped in a platform, which prevents them from exercising strategic agency."
What is the most crucial requirement for minimizing lock-in and ensuring data portability?,"The ability to export user data in standard, non-proprietary formats like Markdown, JSON, or plain text."
"For academic writing tools where intellectual honesty is critical, what should be the default agency level?","Expert mode, with 90-100% human agency (L4-L5)."
"For data analysis tools where accuracy is more important than authorship, what is the recommended default interaction mode?","'Publish' mode is acceptable, but it must be paired with strong attribution and method transparency."
"In professional communication tools, what is the recommended division of labor between human and AI?","The human makes final content decisions, while the AI can handle styling and formatting decisions."
What is a key component to track in the application's state management to preserve agency?,"A list or array of contributions, where each entry is tagged with its source (e.g., 'human' or 'ai')."
What is the first strategic question a product manager should ask before implementing an AI feature?,"What values are at stake in this domain (e.g., authorship, accuracy, creativity)?"
In which type of business model is user agency most at risk of being treated as a cost center?,"A 'Data Model', where more AI use generates more data, creating an incentive for AI dependency."
Which business model is generally best aligned with preserving user agency?,"A 'Subscription Model', as its incentive is to preserve long-term user satisfaction."
What is the first and most critical step in Phase 1 (Foundation) of an agency-preserving product roadmap?,Implementing 'suggest mode' properly.
"According to the user checklist, if an AI tool auto-inserts content by default, what does this indicate about its agency level?",It has lower tactical agency because it operates in 'publish' mode.
What is the first test a user should perform to evaluate an AI tool's strategic agency?,Check if they can export their work and in what formats.
